pais,metodo_orden,tipo_comercio,linea,tipo_producto,producto,año,cuatrimestre,ventas,cantidad,utilidad_bruta_p,utilidad_bruta,costos
Argentina,Especial,Grandes Almacenes,Mascotas,Joyas,Macropus rufogriseus,2019.0,C1 2019,110110.01,15827,46.88,51619.11,58490.90
Argentina,Representante,Mayorista,Mascotas,Joyas,Coluber constrictor,2019.0,C1 2019,95063.75,8409,39.48,37530.47,57533.28
Argentina,Especial,De proximidad,Unisex,Juguetes,Bison bison,2019.0,C1 2019,179380.63,2760,45.11,80923.43,98457.20
Argentina,Representante,Mayorista,Adultos,Joyas,Dusicyon thous,2019.0,C1 2019,106319.43,3994,46.68,49634.18,56685.25
Argentina,Representante,Grandes Almacenes,Adultos,Juguetes,Eubalaena australis,2019.0,C1 2019,124870.17,14816,59.38,74146.91,50723.26
Argentina,Teléfono,Hipermercado,Infantil,Vestimenta,Deroptyus accipitrinus,2019.0,C1 2019,169728.54,11961,73.46,124681.95,45046.59
Argentina,Representante,De proximidad,Unisex,Calzado,Dusicyon thous,2019.0,C1 2019,91754.02,12436,68.44,62793.14,28960.88
Argentina,Mail,Especializado,Infantil,Calzado,Dasyurus maculatus,2019.0,C1 2019,92568.55,6431,67.55,62528.21,30040.34
Argentina,Representante,De proximidad,Mujer,Calzado,Antilope cervicapra,2019.0,C1 2019,157859.12,13557,62.68,98944.28,58914.84
Argentina,Teléfono,Especializado,Hombre,Accesorios,Sus scrofa,2019.0,C1 2019,152897.27,16810,55.75,85233.59,67663.68
Argentina,MercadoLibre,Hipermercado,Mujer,Juguetes,Chordeiles minor,2019.0,C1 2019,124215.60,14769,34.41,42745.66,81469.94
Argentina,Especial,Mayorista,Unisex,Joyas,Chelodina longicollis,2019.0,C1 2019,108962.98,16659,32.96,35917.07,73045.91
Argentina,Especial,Especializado,Hombre,Vestimenta,Phylurus milli,2019.0,C1 2019,107782.42,15706,51.39,55387.43,52394.99
Argentina,Especial,Especializado,Mascotas,Calzado,Hymenolaimus malacorhynchus,2019.0,C1 2019,154431.83,11018,54.25,83775.12,70656.71
Argentina,Website,Mayorista,Mascotas,Vestimenta,Deroptyus accipitrinus,2019.0,C1 2019,170146.37,1913,64.48,109718.55,60427.82
Argentina,Teléfono,Especializado,Hombre,Vestimenta,Junonia genoveua,2019.0,C1 2019,135181.94,2292,60.81,82206.00,52975.94
Argentina,Representante,De proximidad,Mascotas,Vestimenta,Platalea leucordia,2019.0,C1 2019,143278.93,12539,56.41,80826.17,62452.76
Argentina,Representante,Especializado,Adultos,Juguetes,Butorides striatus,2019.0,C1 2019,102732.78,8230,45.10,46335.41,56397.37
Argentina,Mail,De proximidad,Adultos,Vestimenta,Deroptyus accipitrinus,2019.0,C1 2019,98146.05,17266,52.41,51442.98,46703.07
Argentina,Website,Grandes Almacenes,Mascotas,Accesorios,Phalacrocorax brasilianus,2019.0,C1 2019,123534.11,8425,26.71,32999.36,90534.75
Argentina,Mail,Mayorista,Hombre,Juguetes,Kobus defassa,2019.0,C1 2019,108634.58,8719,32.90,35743.19,72891.39
Argentina,Especial,Mayorista,Infantil,Lentes,Phalaropus lobatus,2019.0,C1 2019,154906.87,8940,74.53,115458.71,39448.16
Argentina,MercadoLibre,De proximidad,Mujer,Juguetes,Boselaphus tragocamelus,2019.0,C1 2019,126277.68,12557,31.15,39338.75,86938.93
Argentina,Teléfono,Especializado,Hombre,Juguetes,Orcinus orca,2019.0,C1 2019,101066.97,14302,66.74,67450.90,33616.07
Argentina,Mail,De proximidad,Infantil,Juguetes,Dusicyon thous,2019.0,C1 2019,99267.16,13752,39.36,39074.47,60192.69
Argentina,MercadoLibre,De proximidad,Infantil,Joyas,Meles meles,2019.0,C1 2019,161545.14,13402,51.60,83352.87,78192.27
Argentina,Especial,Mayorista,Adultos,Vestimenta,Deroptyus accipitrinus,2019.0,C1 2019,174764.25,12442,33.20,58024.32,116739.93
Argentina,Representante,De proximidad,Mujer,Lentes,Francolinus swainsonii,2019.0,C1 2019,113961.66,5556,74.54,84946.10,29015.56
Argentina,Representante,De proximidad,Mujer,Joyas,Macropus rufogriseus,2019.0,C1 2019,111835.88,3716,69.35,77555.74,34280.14
Argentina,Mail,De proximidad,Mascotas,Vestimenta,Phylurus milli,2019.0,C1 2019,126816.47,14953,73.21,92844.90,33971.57
Argentina,Mail,Hipermercado,Hombre,Lentes,Cygnus atratus,2019.0,C1 2019,141363.20,2206,26.82,37915.14,103448.06
Argentina,Mail,Especializado,Infantil,Vestimenta,Dusicyon thous,2019.0,C1 2019,169548.19,8940,27.22,46154.55,123393.64
Argentina,Teléfono,De proximidad,Mascotas,Lentes,Theropithecus gelada,2019.0,C1 2019,121156.20,5266,67.70,82022.50,39133.70
Argentina,Representante,Hipermercado,Hombre,Calzado,Ovis canadensis,2019.0,C1 2019,108013.18,1733,31.42,33935.33,74077.85
Argentina,Especial,Grandes Almacenes,Mascotas,Juguetes,Isoodon obesulus,2019.0,C1 2019,116015.86,12003,59.88,69468.49,46547.37
Argentina,Representante,Mayorista,Adultos,Vestimenta,Platalea leucordia,2019.0,C1 2019,148422.49,8428,50.03,74259.63,74162.86
Argentina,Teléfono,Especializado,Mascotas,Calzado,Hyaena brunnea,2019.0,C1 2019,147278.35,4128,39.39,58009.17,89269.18
Argentina,Representante,Especializado,Unisex,Accesorios,Carduelis pinus,2019.0,C1 2019,161792.88,13167,30.65,49587.47,112205.41
Argentina,Website,Especializado,Infantil,Vestimenta,Naja haje,2019.0,C1 2019,105415.72,4168,31.92,33647.82,71767.90
Argentina,MercadoLibre,Mayorista,Adultos,Vestimenta,Sylvicapra grimma,2019.0,C1 2019,169779.88,1257,28.23,47923.83,121856.05
Argentina,MercadoLibre,Grandes Almacenes,Infantil,Accesorios,Sciurus vulgaris,2019.0,C1 2019,128020.51,13813,60.22,77089.07,50931.44
Argentina,MercadoLibre,Hipermercado,Infantil,Calzado,Oreamnos americanus,2019.0,C1 2019,100870.09,10251,71.87,72499.72,28370.37
Argentina,Mail,Mayorista,Mascotas,Calzado,Tayassu pecari,2019.0,C1 2019,105353.16,9921,27.20,28652.76,76700.40
Argentina,Especial,De proximidad,Unisex,Vestimenta,Dusicyon thous,2019.0,C1 2019,150767.84,8562,40.05,60387.23,90380.61
Argentina,Especial,De proximidad,Unisex,Accesorios,Phoenicopterus ruber,2019.0,C1 2019,102441.42,15955,32.03,32809.35,69632.07
Argentina,MercadoLibre,Especializado,Unisex,Calzado,Tayassu pecari,2019.0,C1 2019,130373.17,6064,51.52,67165.72,63207.45
Argentina,Especial,Mayorista,Mascotas,Lentes,Pavo cristatus,2019.0,C1 2019,131628.86,6597,60.08,79077.79,52551.07
Argentina,Representante,De proximidad,Unisex,Lentes,Speotyte cuniculata,2019.0,C1 2019,162123.03,15250,27.21,44120.42,118002.61
Argentina,Website,De proximidad,Mascotas,Vestimenta,Junonia genoveua,2019.0,C1 2019,182084.17,6336,37.55,68377.02,113707.15
Argentina,Website,Mayorista,Unisex,Calzado,Oreamnos americanus,2019.0,C1 2019,156978.93,3642,47.01,73792.82,83186.11
Argentina,MercadoLibre,De proximidad,Unisex,Vestimenta,Platalea leucordia,2019.0,C1 2019,128976.39,8568,26.78,34539.04,94437.35
Argentina,Especial,Hipermercado,Adultos,Juguetes,Boselaphus tragocamelus,2019.0,C1 2019,121850.52,8834,67.64,82417.89,39432.63
Argentina,Representante,Mayorista,Unisex,Vestimenta,Crotaphytus collaris,2019.0,C1 2019,99655.50,10129,28.71,28610.96,71044.54
Argentina,Website,De proximidad,Mujer,Calzado,Cacatua tenuirostris,2019.0,C1 2019,146601.74,9388,45.74,67056.66,79545.08
Bolivia,Representante,Hipermercado,Unisex,Joyas,Coluber constrictor,2019.0,C1 2019,160033.70,4773,63.13,101026.94,59006.76
Bolivia,Representante,Grandes Almacenes,Unisex,Juguetes,Anhinga rufa,2019.0,C1 2019,118076.59,9750,42.68,50391.84,67684.75
Bolivia,Especial,Especializado,Hombre,Joyas,Meles meles,2019.0,C1 2019,107707.39,13206,33.45,36026.55,71680.84
Bolivia,Teléfono,Especializado,Adultos,Calzado,Myiarchus tuberculifer,2019.0,C1 2019,119283.43,1453,38.71,46168.83,73114.60
Bolivia,MercadoLibre,Especializado,Mascotas,Juguetes,Isoodon obesulus,2019.0,C1 2019,125104.23,12112,37.16,46491.12,78613.11
Bolivia,Website,Grandes Almacenes,Infantil,Calzado,Genetta genetta,2019.0,C1 2019,155470.55,17101,52.16,81093.29,74377.26
Bolivia,Representante,Grandes Almacenes,Mujer,Joyas,Camelopardalis,2019.0,C1 2019,128026.99,4646,47.79,61184.21,66842.78
Bolivia,Representante,Mayorista,Mascotas,Vestimenta,Dusicyon thous,2019.0,C1 2019,133025.94,6507,48.82,64944.87,68081.07
Bolivia,Mail,Hipermercado,Hombre,Joyas,Camelopardalis,2019.0,C1 2019,91319.58,7667,55.97,51107.66,40211.92
Bolivia,Representante,Mayorista,Hombre,Vestimenta,Sylvicapra grimma,2019.0,C1 2019,93388.55,14171,24.74,23101.62,70286.93
Brazil,Website,Hipermercado,Infantil,Joyas,Macropus rufogriseus,2019.0,C1 2019,131791.08,8395,33.36,43969.54,87821.54
Brazil,MercadoLibre,Especializado,Mascotas,Juguetes,Hyaena hyaena,2019.0,C1 2019,185527.28,7599,66.29,122987.25,62540.03
Brazil,Mail,De proximidad,Mujer,Accesorios,Galictis vittata,2019.0,C1 2019,135750.77,2058,60.47,82086.97,53663.80
Brazil,MercadoLibre,Grandes Almacenes,Mascotas,Lentes,Lycaon pictus,2019.0,C1 2019,143831.86,11266,44.60,64151.11,79680.75
Brazil,MercadoLibre,Grandes Almacenes,Hombre,Juguetes,Spermophilus tridecemlineatus,2019.0,C1 2019,111747.60,12165,64.64,72235.72,39511.88
Brazil,Teléfono,Hipermercado,Mascotas,Joyas,Rhea americana,2019.0,C1 2019,109457.16,8126,61.59,67411.58,42045.58
Brazil,Website,De proximidad,Infantil,Vestimenta,Diomedea irrorata,2019.0,C1 2019,111556.19,3876,45.81,51102.67,60453.52
Brazil,Mail,De proximidad,Infantil,Vestimenta,Geococcyx californianus,2019.0,C1 2019,111054.88,1337,74.69,82950.47,28104.41
Brazil,Especial,Grandes Almacenes,Adultos,Joyas,Tiliqua scincoides,2019.0,C1 2019,94046.39,15808,43.29,40711.46,53334.93
Brazil,Representante,Grandes Almacenes,Mascotas,Accesorios,Sciurus vulgaris,2019.0,C1 2019,143079.55,6378,75.39,107870.33,35209.22
Brazil,MercadoLibre,Hipermercado,Mujer,Accesorios,Anthropoides paradisea,2019.0,C1 2019,142106.57,8502,42.41,60263.46,81843.11
Brazil,Website,De proximidad,Mascotas,Juguetes,Canis aureus,2019.0,C1 2019,180148.47,16597,60.12,108299.38,71849.09
Brazil,Website,Mayorista,Infantil,Lentes,Corvus albus,2019.0,C1 2019,161972.02,6757,59.39,96201.73,65770.29
Brazil,Teléfono,Especializado,Unisex,Vestimenta,Meles meles,2019.0,C1 2019,148855.58,11249,56.81,84570.97,64284.61
Brazil,Mail,Mayorista,Hombre,Juguetes,Bison bison,2019.0,C1 2019,138528.19,3349,66.64,92311.58,46216.61
Brazil,Teléfono,Mayorista,Hombre,Joyas,Camelopardalis,2019.0,C1 2019,178679.05,16526,73.62,131536.23,47142.82
Brazil,MercadoLibre,Especializado,Infantil,Joyas,Dusicyon thous,2019.0,C1 2019,119003.59,5643,68.80,81878.33,37125.26
Brazil,Website,Mayorista,Unisex,Joyas,Canis latrans,2019.0,C1 2019,149097.99,17480,49.88,74364.55,74733.44
Brazil,Representante,Grandes Almacenes,Mascotas,Calzado,Hyaena brunnea,2019.0,C1 2019,105652.89,14230,53.66,56688.16,48964.73
Brazil,MercadoLibre,Grandes Almacenes,Mascotas,Juguetes,Anhinga rufa,2019.0,C1 2019,168790.05,9612,44.10,74428.62,94361.43
Brazil,Representante,De proximidad,Unisex,Vestimenta,Dusicyon thous,2019.0,C1 2019,104110.98,7736,55.06,57321.07,46789.91
Brazil,Representante,Hipermercado,Mascotas,Juguetes,Anitibyx armatus,2019.0,C1 2019,129597.25,12783,42.32,54842.40,74754.85
Brazil,Especial,Especializado,Infantil,Vestimenta,Meles meles,2019.0,C1 2019,172509.83,15008,49.31,85061.13,87448.70
Brazil,Mail,Mayorista,Infantil,Calzado,Odocoileus hemionus,2019.0,C1 2019,161255.41,2219,41.02,66145.37,95110.04
Brazil,Website,Hipermercado,Mujer,Vestimenta,Naja haje,2019.0,C1 2019,110301.83,5995,29.20,32210.12,78091.71
Brazil,Representante,Grandes Almacenes,Mujer,Accesorios,Eremophila alpestris,2019.0,C1 2019,97545.58,4817,26.97,26311.30,71234.28
Brazil,Website,Hipermercado,Hombre,Lentes,Megaderma spasma,2019.0,C1 2019,173522.13,10822,30.25,52491.06,121031.07
Brazil,Especial,Grandes Almacenes,Adultos,Juguetes,Kobus defassa,2019.0,C1 2019,159038.24,7649,38.47,61182.18,97856.06
Brazil,Especial,De proximidad,Mascotas,Joyas,Anthropoides paradisea,2019.0,C1 2019,150451.49,16918,50.46,75912.40,74539.09
Brazil,MercadoLibre,Mayorista,Hombre,Lentes,Cygnus atratus,2019.0,C1 2019,165734.28,5828,27.63,45789.90,119944.38
Brazil,Website,De proximidad,Mujer,Vestimenta,Phalaropus fulicarius,2019.0,C1 2019,171274.86,5200,32.32,55347.81,115927.05
Brazil,Teléfono,De proximidad,Mujer,Vestimenta,Eolophus roseicapillus,2019.0,C1 2019,107733.34,10608,68.41,73702.35,34030.99
Brazil,Teléfono,Grandes Almacenes,Hombre,Lentes,Mazama gouazoubira,2019.0,C1 2019,174859.85,3126,44.45,77721.37,97138.48
Brazil,Mail,Especializado,Mujer,Vestimenta,Phylurus milli,2019.0,C1 2019,169686.19,2350,36.71,62291.57,107394.62
Brazil,MercadoLibre,Grandes Almacenes,Unisex,Calzado,Oreamnos americanus,2019.0,C1 2019,165970.27,5726,35.73,59294.45,106675.82
Brazil,Website,Especializado,Infantil,Calzado,Oreamnos americanus,2019.0,C1 2019,139093.58,6922,46.30,64398.35,74695.23
Brazil,Website,Mayorista,Adultos,Calzado,Myiarchus tuberculifer,2019.0,C1 2019,98731.75,3575,44.22,43655.85,55075.90
Brazil,Especial,Mayorista,Mujer,Joyas,Pavo cristatus,2019.0,C1 2019,107497.88,7444,68.21,73324.11,34173.77
Brazil,Teléfono,Mayorista,Hombre,Calzado,Odocoileus hemionus,2019.0,C1 2019,163637.09,16074,66.60,108978.41,54658.68
Brazil,Especial,Grandes Almacenes,Hombre,Calzado,Dusicyon thous,2019.0,C1 2019,124451.11,6477,36.38,45280.36,79170.75
Brazil,Mail,Especializado,Infantil,Calzado,Ceratotherium simum,2019.0,C1 2019,114934.00,15614,35.79,41137.15,73796.85
Brazil,Especial,De proximidad,Mascotas,Lentes,Limnocorax flavirostra,2019.0,C1 2019,157288.33,2163,32.70,51439.43,105848.90
Brazil,Especial,Especializado,Adultos,Vestimenta,Ninox superciliaris,2019.0,C1 2019,158605.99,9090,25.18,39934.95,118671.04
Brazil,Especial,Mayorista,Mujer,Juguetes,Isoodon obesulus,2019.0,C1 2019,102421.19,15509,29.87,30593.74,71827.45
Brazil,Especial,Especializado,Unisex,Calzado,unavailable,2019.0,C1 2019,110295.52,3960,28.93,31903.95,78391.57
Brazil,Especial,Grandes Almacenes,Adultos,Calzado,Ceratotherium simum,2019.0,C1 2019,184818.41,14992,69.44,128343.88,56474.53
Brazil,Teléfono,Grandes Almacenes,Mascotas,Juguetes,Orcinus orca,2019.0,C1 2019,171841.48,16238,45.95,78966.18,92875.30
Brazil,Mail,Especializado,Unisex,Calzado,Hyaena brunnea,2019.0,C1 2019,114786.52,8960,41.45,47579.17,67207.35
Brazil,Representante,Hipermercado,Adultos,Lentes,Cygnus atratus,2019.0,C1 2019,97102.37,12970,48.39,46983.46,50118.91
Brazil,Mail,Hipermercado,Infantil,Calzado,Hymenolaimus malacorhynchus,2019.0,C1 2019,164287.38,13259,68.58,112670.69,51616.69
Brazil,Especial,Especializado,Mujer,Joyas,Meles meles,2019.0,C1 2019,143546.22,5045,74.04,106281.61,37264.61
Brazil,Website,Hipermercado,Infantil,Joyas,Dusicyon thous,2019.0,C1 2019,102473.80,5678,65.60,67218.33,35255.47
Brazil,Especial,Mayorista,Unisex,Calzado,Tayassu pecari,2019.0,C1 2019,126910.90,17171,37.24,47255.34,79655.56
Brazil,MercadoLibre,Mayorista,Mascotas,Calzado,Dasyurus maculatus,2019.0,C1 2019,175869.29,1586,63.98,112521.15,63348.14
Brazil,Especial,Especializado,Unisex,Lentes,Pavo cristatus,2019.0,C1 2019,137599.88,5319,39.67,54583.83,83016.05
Brazil,Website,Hipermercado,Mascotas,Accesorios,Eremophila alpestris,2019.0,C1 2019,121281.21,2087,74.85,90784.39,30496.82
Brazil,Representante,Grandes Almacenes,Unisex,Accesorios,Arctogalidia trivirgata,2019.0,C1 2019,160865.41,6261,67.09,107921.07,52944.34
Brazil,Mail,Hipermercado,Mujer,Juguetes,Tursiops truncatus,2019.0,C1 2019,116683.25,8504,49.45,57701.67,58981.58
Brazil,Especial,De proximidad,Mujer,Lentes,Pavo cristatus,2019.0,C1 2019,132899.23,4267,74.71,99283.25,33615.98
Brazil,Mail,De proximidad,Hombre,Calzado,Hymenolaimus malacorhynchus,2019.0,C1 2019,148585.65,10123,42.30,62857.53,85728.12
Brazil,Mail,Grandes Almacenes,Hombre,Juguetes,Dusicyon thous,2019.0,C1 2019,178900.13,10432,43.34,77531.24,101368.89
Brazil,Mail,Grandes Almacenes,Mascotas,Lentes,Megaderma spasma,2019.0,C1 2019,142927.84,2384,49.86,71267.48,71660.36
Brazil,Website,Hipermercado,Infantil,Juguetes,Hyaena hyaena,2019.0,C1 2019,161943.69,4979,46.27,74924.97,87018.72
Brazil,Especial,Especializado,Mascotas,Lentes,Cygnus atratus,2019.0,C1 2019,175757.96,12044,41.73,73342.04,102415.92
Brazil,Representante,Especializado,Adultos,Lentes,Butorides striatus,2019.0,C1 2019,113328.41,11822,49.11,55653.67,57674.74
Brazil,Representante,Hipermercado,Mujer,Juguetes,Orcinus orca,2019.0,C1 2019,169152.77,7890,61.03,103236.67,65916.10
Brazil,Mail,Especializado,Unisex,Joyas,Chelodina longicollis,2019.0,C1 2019,97305.80,5195,75.24,73214.88,24090.92
Brazil,Website,De proximidad,Adultos,Lentes,Limnocorax flavirostra,2019.0,C1 2019,171432.18,783,69.91,119850.23,51581.95
Brazil,Mail,De proximidad,Mujer,Lentes,Otaria flavescens,2019.0,C1 2019,176233.83,13488,66.57,117324.91,58908.92
Brazil,Website,De proximidad,Infantil,Lentes,Phalacrocorax carbo,2019.0,C1 2019,132570.56,4188,26.11,34610.47,97960.09
Brazil,Representante,De proximidad,Mujer,Juguetes,Isoodon obesulus,2019.0,C1 2019,115622.01,767,72.66,84011.49,31610.52
Brazil,Teléfono,Especializado,Unisex,Lentes,Theropithecus gelada,2019.0,C1 2019,122570.43,3925,44.53,54580.53,67989.90
Brazil,Website,Hipermercado,Infantil,Vestimenta,Meles meles,2019.0,C1 2019,111264.22,12400,25.04,27862.37,83401.85
Brazil,Teléfono,De proximidad,Unisex,Juguetes,Anhinga rufa,2019.0,C1 2019,129670.02,5545,44.22,57338.93,72331.09
